task_id,seed,m,estimate,workers,time
311,0x9747b3c3,1024,279657.1602195074,16,18.135798692703247
315,0x9747b3c7,1024,278046.73334645794,16,14.193488121032715
313,0x9747b3c5,1024,280665.03114046826,16,14.458317995071411
312,0x9747b3c4,1024,280978.18751233583,16,18.29002046585083
298,0x9747b3b6,1024,275336.7689287154,16,14.207132339477539
314,0x9747b3c6,1024,279590.8378899696,16,17.952752351760864
318,0x9747b3ca,1024,273705.0175151195,16,14.417535781860352
316,0x9747b3c8,1024,301511.4377449207,16,18.34349036216736
317,0x9747b3c9,1024,281439.2362460667,16,18.217780351638794
320,0x9747b3cc,1024,299353.6298269451,16,14.36633825302124
321,0x9747b3cd,1024,298433.48285077576,16,17.63185739517212
324,0x9747b3d0,1024,286572.9687027816,16,14.131027460098267
326,0x9747b3d2,1024,278991.41952134564,16,14.291257619857788
323,0x9747b3cf,1024,293295.8075260891,16,17.873651027679443
335,0x9747b3db,1024,292757.80077497714,16,14.119986534118652
325,0x9747b3d1,1024,301957.2074938424,16,18.273807525634766
337,0x9747b3dd,1024,292217.3449900783,16,17.145700931549072
334,0x9747b3da,1024,284591.9217872417,16,17.659828424453735
331,0x9747b3d7,1024,276651.2992159691,16,17.973867654800415
309,0x9747b3c1,1024,295715.0189681962,16,18.23988175392151
336,0x9747b3dc,1024,290730.31255081395,16,18.432379484176636
338,0x9747b3de,1024,287832.35287220916,16,18.361910581588745
340,0x9747b3e0,1024,285672.8209919586,16,17.65632915496826
339,0x9747b3df,1024,283348.5123747943,16,18.137391328811646
343,0x9747b3e3,1024,292288.2839657743,16,14.084731817245483
342,0x9747b3e2,1024,274606.48526816326,16,14.408424377441406
341,0x9747b3e1,1024,290728.1787737221,16,18.343847274780273
344,0x9747b3e4,1024,281775.0676867453,16,14.242709159851074
319,0x9747b3cb,1024,277786.4775300204,16,14.34787130355835
345,0x9747b3e5,1024,275728.4133932736,16,18.038120985031128
347,0x9747b3e7,1024,284390.20782206784,16,17.52553129196167
346,0x9747b3e6,1024,285566.19393059245,16,18.29860496520996
349,0x9747b3e9,1024,299420.6215661486,16,17.79558539390564
351,0x9747b3eb,1024,278574.1960461471,16,17.895675659179688
350,0x9747b3ea,1024,299590.9157462901,16,18.20499873161316
353,0x9747b3ed,1024,292771.8652259406,16,15.8637056350708
322,0x9747b3ce,1024,279746.23163367406,16,18.195300102233887
356,0x9747b3f0,1024,290621.30329047923,16,14.036234140396118
355,0x9747b3ef,1024,279424.3811834489,16,14.297856330871582
354,0x9747b3ee,1024,287895.73825107655,16,18.26055884361267
328,0x9747b3d4,1024,287748.9275612334,16,18.245489835739136
357,0x9747b3f1,1024,278611.12970378407,16,14.229962348937988
359,0x9747b3f3,1024,298107.82575627713,16,14.180132865905762
358,0x9747b3f2,1024,286705.9227412657,16,18.183568000793457
361,0x9747b3f5,1024,283208.93381118664,16,14.402896165847778
360,0x9747b3f4,1024,284736.7047698888,16,17.637256622314453
367,0x9747b3fb,1024,290685.72312089475,16,14.15907883644104
362,0x9747b3f6,1024,297254.9535788735,16,17.772676944732666
363,0x9747b3f7,1024,294807.7871425263,16,18.368923664093018
365,0x9747b3f9,1024,300387.3167901834,16,17.658771753311157
369,0x9747b3fd,1024,282825.34650710184,16,14.336003065109253
366,0x9747b3fa,1024,277831.4354082713,16,18.141957998275757
373,0x9747b401,1024,275868.97511911165,16,14.27015495300293
368,0x9747b3fc,1024,286077.5017525749,16,18.046723127365112
370,0x9747b3fe,1024,283057.45741237793,16,18.467472553253174
348,0x9747b3e8,1024,289119.7357235082,16,18.246267795562744
375,0x9747b403,1024,288103.8719165408,16,14.267398595809937
352,0x9747b3ec,1024,290632.404443989,16,18.135523319244385
374,0x9747b402,1024,287163.6994983243,16,17.953453540802002
329,0x9747b3d5,1024,285487.6261027187,16,18.198659658432007
378,0x9747b406,1024,280630.93073200865,16,14.280145645141602
376,0x9747b404,1024,288625.9456771347,16,17.799036979675293
377,0x9747b405,1024,282593.16235257994,16,17.76306176185608
382,0x9747b40a,1024,297854.5301554421,16,14.234912157058716
380,0x9747b408,1024,284680.89141215297,16,17.709605932235718
383,0x9747b40b,1024,289470.7739592181,16,14.202730417251587
381,0x9747b409,1024,285926.708602874,16,18.272578239440918
385,0x9747b40d,1024,292398.2103449718,16,14.149414777755737
364,0x9747b3f8,1024,285931.713560902,16,18.183284044265747
384,0x9747b40c,1024,283228.32274971594,16,18.0448899269104
386,0x9747b40e,1024,275334.8910102518,16,18.30914068222046
390,0x9747b412,1024,267717.31629580585,16,14.28371810913086
371,0x9747b3ff,1024,274103.31534215185,16,14.367422580718994
388,0x9747b410,1024,279620.4421855238,16,18.234889268875122
389,0x9747b411,1024,279876.0396951057,16,17.96808934211731
395,0x9747b417,1024,274533.0230047843,16,14.300309419631958
393,0x9747b415,1024,318676.8250504271,16,17.96964144706726
396,0x9747b418,1024,279891.86009962525,16,14.29667043685913
394,0x9747b416,1024,289344.01460126945,16,17.844449281692505
398,0x9747b41a,1024,297608.76361610205,16,14.22784948348999
327,0x9747b3d3,1024,280755.93976275396,16,18.397932052612305
402,0x9747b41e,1024,268473.2232179473,16,14.30673098564148
397,0x9747b419,1024,286028.33841695375,16,18.093053102493286
403,0x9747b41f,1024,283904.13556776784,16,14.30508303642273
399,0x9747b41b,1024,297323.226892519,16,17.97939157485962
379,0x9747b407,1024,277229.43983306456,16,18.23116636276245
401,0x9747b41d,1024,270688.6929097311,16,17.953258514404297
400,0x9747b41c,1024,287060.7933474644,16,18.20052456855774
406,0x9747b422,1024,303848.6086272786,16,14.143975496292114
404,0x9747b420,1024,277604.6757024194,16,18.29072332382202
407,0x9747b423,1024,288045.10754676705,16,14.362786293029785
405,0x9747b421,1024,285331.0311285088,16,18.088196992874146
387,0x9747b40f,1024,277529.33340254345,16,17.97749900817871
372,0x9747b400,1024,287374.4240595124,16,14.275022029876709
408,0x9747b424,1024,265520.4760663967,16,18.199349880218506
411,0x9747b427,1024,281454.23396869097,16,14.37618112564087
409,0x9747b425,1024,279382.2068305409,16,18.16486358642578
412,0x9747b428,1024,289929.79001147614,16,14.032824516296387
414,0x9747b42a,1024,308108.2329989172,16,14.186416387557983
391,0x9747b413,1024,297847.307461333,16,17.996644973754883
392,0x9747b414,1024,276156.1601091283,16,18.027525186538696
410,0x9747b426,1024,266818.0204121159,16,18.3541259765625
413,0x9747b429,1024,286269.3589793834,16,18.070886611938477
419,0x9747b42f,1024,289374.34639190446,16,14.277615547180176
